Time	R_GnRH_a	R_GnRH_i	GnRH_R_i	GnRH	LH_bld	AF3	FSH_bld	AF4	InhB	LH_Pit	Lut1	Lut3	OvF	P4	R_FSH_des	R_Foll	AF1	R_LH_des	Sc1	InhA_delay	FSH_pit	E2	PrF	GnRH_R_a	InhA	Lut4	FSH_R	R_LH	AF2	Sc2	Lut2	R_FSH	LH_R	freq	mass
40	0.00894803	0.00102107	0.000126423	0.0325415	5.97358	5.14078	5.68469	0.0025148	129.796	309533	9.69249E-10	4.1513E-06	1.91143E-10	0.193857	1.89697	2.16663	2.56493	1.38406	7.2272E-15	19.7233	36349.8	83.6818	0.860335	0.000139252	0.761479	6.13217E-05	0.836614	7.46688	49.8319	3.09011E-11	7.77144E-08	5.76641	0.521062	15.594	0.00128253
41	0.00891934	0.00102706	0.00013552	0.0350759	7.23784	6.40295	5.54359	0.00568001	132.428	313369	3.94648E-10	2.27975E-06	5.967E-08	0.18986	1.86343	2.37561	2.58478	1.60342	2.13241E-15	19.5359	33607.2	109.944	1.41131	0.000149597	1.00056	3.69973E-05	0.822365	7.16346	50.8394	1.18571E-11	3.67527E-08	5.81421	0.605118	15.6244	0.00156684
42	0.00873547	0.00106593	0.000198219	0.0545104	30.1869	6.08711	7.08952	0.180827	116.585	316693	7.26697E-08	1.2453E-06	0.0171125	0.187426	2.16413	2.58606	2.57666	3.72937	0.00144515	21.6763	30504.9	316.723	7.78655	0.000227172	2.67369	2.21772E-05	0.966216	4.18626	44.4409	1.16531E-05	1.77295E-08	5.36965	1.45638	30.84	0.00393725
43	0.00832683	0.00117397	0.000339325	0.0928545	107.593	0.0565992	8.44885	0.00744237	143.134	287479	0.0639939	0.00628921	9.95824E-06	0.261507	2.4458	2.80325	2.37727	5.59869	0.167114	36.6755	25109.7	77.1027	0.076555	0.000369977	5.61397	0.00105336	1.07518	1.67098	0.983271	0.180087	0.0247639	4.97903	2.10233	15.275	0.0012311
44	0.00860115	0.00109923	0.000237146	0.062637	42.9111	0.0642639	5.82954	0.00322596	110.469	263307	0.117586	0.0395991	4.97963E-11	1.59185	1.93493	2.35867	2.46667	4.43008	0.0493074	56.5943	22656.3	70.9934	0.0965785	0.000257839	8.20988	0.0125698	0.851106	3.28821	0.883129	0.137906	0.0828277	5.71396	1.65372	5.79779	0.00119371
45	0.00884601	0.00103393	0.000147713	0.0378339	7.40166	0.18625	4.67989	0.000196613	64.8068	258008	0.106822	0.0806903	6.57835E-16	4.88907	1.65888	0.759505	2.55211	1.67039	0.0145483	83.5046	27045	103.829	0.208392	0.000160195	10.577	0.0370834	0.730397	7.08465	2.73537	0.073209	0.114169	6.11073	0.616958	0.909626	0.0014922
46	0.00901348	0.000989981	8.75507E-05	0.0219918	2.99513	0.210991	3.87123	1.14576E-05	39.7454	257929	0.0726525	0.108803	1.08579E-18	9.34424	1.44248	0.298923	2.55888	0.777412	0.00429251	111.885	32382.4	141.411	0.209889	9.48833E-05	11.5205	0.0676133	0.635044	8.30348	4.85886	0.0340755	0.110628	6.42248	0.291105	0.26268	0.00199077
47	0.00911708	0.000963652	5.12287E-05	0.0127203	2.66925	0.227758	3.30688	7.42524E-06	29.48	258091	0.0424414	0.115022	2.48556E-19	13.3481	1.27657	0.159992	2.49128	0.698142	0.00126652	136.362	34482.3	176.243	0.209946	5.55128E-05	11.2883	0.0929675	0.562426	8.41142	6.69748	0.0148396	0.0874796	6.66101	0.262435	0.140871	0.00247523
48	0.00917989	0.000948551	3.00731E-05	0.0074185	2.64918	0.243751	3.02458	7.58606E-06	26.9186	258320	0.0226437	0.103617	1.55915E-19	15.643	1.1885	0.107671	2.39111	0.693156	0.000373689	153.672	34722.4	195.361	0.209974	3.25976E-05	10.1924	0.105779	0.524012	8.4182	8.30939	0.00621428	0.0608111	6.78748	0.260642	0.115475	0.00272786
49	0.00921835	0.000940143	1.79512E-05	0.00441284	2.65017	0.259819	2.88233	8.10351E-06	27.8501	258564	0.0113817	0.0835492	1.21694E-19	15.9342	1.14296	0.0847774	2.29762	0.693372	0.000110258	162.498	34310.6	195.041	0.209996	1.94709E-05	8.61111	0.105285	0.504106	8.4179	9.77628	0.00253778	0.0387439	6.85294	0.260729	0.111052	0.00272374
